KEY,EN,DE
NEW_GAME,NEW GAME,NEUES SPIEL
CONTINUE,CONTINUE,FORTSETZEN
SETTINGS,SETTINGS,EINSTELLUNGEN
CREDITS,CREDITS,MITWIRKENDE
EXIT,EXIT,BEENDEN
DEMO_VERSION,Demo Version,Demoversion
UNDER_DEVELOPMENT,under Development,in der Entwicklung 
CREDITS_TEXT,"[center][font_size=48]Made By Mathew A[/font_size][/center]

[font_size=32]Game Design[/font_size]
Mathew A

[font_size=32]Programming[/font_size]
Mathew A

[font_size=32]Art[/font_size]
Mathew A

[font_size=32]Testing[/font_size]
Karma Dude

[font_size=32]Level Design[/font_size]
Mathew A

[font_size=32]Music[/font_size]
Austin

[font_size=32]SFX[/font_size]
Austin

[center][font_size=40]Thanks To[/font_size][/center]

Discord Friends for their support:
- @Karma dude
- @Dev Noob
- @Josse
- @Therealchrisnorton
- @WilliamIsMe
- Austin

[center][font_size=40]Game Dev Network[/font_size][/center]

[font_size=32]Special Thanks[/font_size]
@Karma dude 
For testing the demo and helpful feedback



[font_size=32]Tools Used[/font_size]

[font_size=24]Art[/font_size]
Aseprite

[font_size=24]Engine[/font_size]
Godot Engine

[center]©2026 Mathew A • Godot Engine[/center] ","[center][font_size=48]Erstellt von Mathew A[/font_size][/center]

[font_size=32]Spieldesign[/font_size]
Mathew A

[font_size=32]Programmierung[/font_size]
Mathew A

[font_size=32]Grafik[/font_size]
Mathew A

[font_size=32]Qualitätssicherung[/font_size]
Karmda Dude

[font_size=32]Leveldesign[/font_size]
Mathew A

[font_size=32]Musik[/font_size]
Austin

[font_size=32]Soundeffekte[/font_size]
Austin

[center][font_size=40]Danke an[/font_size][/center]

Discord-Freunde für ihre Unterstützung:
- @Karma dude
- @Dev Noob
- @Josse
- @Therealchrisnorton
- @WilliamIsMe
- Austin

[center][font_size=40]Game Dev Netzwerk[/font_size][/center]

[font_size=32]Besonderer Dank[/font_size]
@Karma dude 
Für das Testen der Demo und hilfreiches Feedback



[font_size=32]Verwendete Tools[/font_size]

[font_size=24]Grafik[/font_size]
Aseprite

[font_size=24]Engine[/font_size]
Godot Engine

[center]©2026 Mathew A • Godot Engine[/center] "
CLOSE,Close,Schließen 
ENDING_TEXT,"Light returns to this place.
What was lost begins anew.
Thank you, Caretaker. ","Das Licht kehrt zurück.
Was verloren war, beginnt von Neuem.
Danke, Hüter. "
YOU_DIED,You Died,Du bist gestorben 
RESPAWN,Respawn,Wiederbeleben 
FULLSCREEN,Fullscreen,Vollbild 
RESET_GAME,Reset Game,Spiel zurücksetzen 
ALPHA_VERSION,Alpha Version,Alpha-Phase 
GENERAL,General,Allgemein 
DATA,Data,Daten
NEW_AREA,New Area Discovered,Neues Gebiet entdeckt 
AUDIO,Audio,Audio
SOUND,Sound,Ton
AUDIO_SETTINGS,Audio Settings,Audioeinstellungen 
MASTER_VOLUME,Master Volume,Gesamtlautstärke 
MUSIC_VOLUME,Music Volume ,Musiklautstärke 
SFX_VOLUME,SFX Volume ,Effektlautstärke 
UI_VOLUME,UI Volume ,UI-Lautstärke 
AMBIENCE_VOLUME,Ambience Volume,Umgebungslautstärke 
MASTER ,Master,Gesamt
MUSIC,Music,Musik
SFX,SFX,Effekt
UI,UI,UI
AMBIENCE,Ambience,Umgebungs
